iter	Passed	Remaining
0	232	150372
1	421	136444
2	656	141438
3	828	133563
4	1046	134824
5	1242	133148
6	1510	138488
7	1734	138992
8	1950	138680
9	2168	138579
10	2363	137061
11	2593	137667
12	2763	135184
13	2962	134348
14	3160	133589
15	3439	136060
16	3687	137103
17	3873	135776
18	4069	134922
19	4306	135448
20	4492	134354
21	4711	134274
22	4979	135532
23	5200	135433
24	5390	134535
25	5582	133770
26	5758	132653
27	5931	131549
28	6191	132361
29	6402	132102
30	6590	131385
31	6771	130560
32	7002	130713
33	7261	131354
34	7485	131321
35	7740	131798
36	8005	132414
37	8236	132438
38	8531	133445
39	8710	132611
40	8919	132263
41	9111	131677
42	9312	131242
43	9499	130623
44	9781	131293
45	9966	130646
46	10198	130621
47	10383	130015
48	10632	130196
49	10828	129727
50	11047	129533
51	11293	129663
52	11559	129986
53	11770	129688
54	11953	129101
55	12174	128920
56	12352	128294
57	12552	127910
58	12729	127299
59	12921	126842
60	13094	126222
61	13311	126033
62	13496	125538
63	13698	125214
64	13876	124675
65	14072	124308
66	14257	123848
67	14477	123697
68	14669	123311
69	14868	122980
70	15049	122518
71	15250	122212
72	15429	121743
73	15656	121653
74	15824	121106
75	16024	120814
76	16214	120451
77	16419	120201
78	16603	119798
79	16896	120178
80	17087	119823
81	17267	119399
82	17453	119017
83	17661	118794
84	17833	118331
85	18051	118173
86	18244	117857
87	18457	117664
88	18649	117342
89	18856	117121
90	19043	116769
91	19271	116674
92	19471	116410
93	19675	116171
94	19865	115845
95	20076	115648
96	20280	115410
97	20528	115421
98	20730	115168
99	20947	114999
100	21168	114857
101	21387	114693
102	21605	114528
103	21822	114358
104	22035	114165
105	22247	113964
106	22462	113780
107	22686	113640
108	22939	113644
109	23203	113695
110	23425	113542
111	23683	113555
112	23879	113271
113	24081	113013
114	24276	112728
115	24487	112514
116	24680	112223
117	24898	112044
118	25085	111724
119	25285	111465
120	25485	111208
121	25718	111096
122	25912	110812
123	26137	110663
124	26335	110400
125	26543	110175
126	26740	109911
127	26927	109604
128	27129	109360
129	27350	109190
130	27555	108958
131	27752	108695
132	27944	108418
133	28142	108161
134	28338	107894
135	28559	107729
136	28757	107471
137	28963	107248
138	29160	106992
139	29364	106759
140	29560	106502
141	29781	106334
142	29966	106036
143	30167	105795
144	30365	105546
145	30574	105336
146	30764	105060
147	30996	104926
148	31192	104673
149	31391	104427
150	31589	104181
151	31772	103888
152	31976	103661
153	32205	103517
154	32402	103271
155	32604	103038
156	32795	102773
157	32995	102538
158	33192	102291
159	33417	102130
160	33617	101896
161	33806	101627
162	34004	101386
163	34203	101151
164	34404	100919
165	34632	100769
166	34816	100487
167	35022	100273
168	35222	100039
169	35422	99808
170	35615	99556
171	35814	99321
172	36013	99088
173	36209	98846
174	36401	98597
175	36614	98401
176	36809	98159
177	37030	97985
178	37213	97711
179	37410	97474
180	37612	97252
181	37800	96993
182	37997	96758
183	38242	96645
184	38510	96589
185	38726	96400
186	38935	96192
187	39148	95997
188	39394	95881
189	39586	95632
190	39792	95417
191	40020	95256
192	40286	95184
193	40561	95131
194	40773	94929
195	41015	94795
196	41245	94633
197	41528	94591
198	41759	94431
199	41976	94237
200	42190	94035
201	42407	93842
202	42636	93675
203	42861	93496
204	42874	92860
205	43077	92638
206	43284	92424
207	43582	92404
208	43798	92208
209	44025	92033
210	44252	91861
211	44473	91673
212	44694	91488
213	44898	91265
214	45142	91124
215	45345	90900
216	45561	90702
217	45770	90490
218	45990	90300
219	46182	90056
220	46408	89877
221	46612	89656
222	46810	89422
223	47002	89178
224	47213	88970
225	47232	88404
226	47435	88183
227	47656	87997
228	47863	87785
229	48082	87593
230	48307	87414
231	48533	87234
232	48745	87030
233	48956	86824
234	49172	86626
235	49386	86426
236	49442	85950
237	49673	85780
238	49875	85560
239	50091	85363
240	50288	85135
241	50501	84933
242	50696	84703
243	50901	84487
244	51104	84269
245	51323	84079
246	51526	83861
247	51781	83727
248	51989	83516
249	52232	83362
250	52451	83170
251	52672	82980
252	52916	82826
253	53132	82627
254	53352	82434
255	53584	82260
256	53789	82043
257	54021	81869
258	54229	81658
259	54436	81445
260	54653	81246
261	54831	80992
262	55042	80785
263	55249	80572
264	55457	80360
265	55674	80163
